,UF,Data,CA,CN,OA,ON,Data mmmovel,CA mmovel,OA mmovel,ON mmovel,CN mmovel,CAp100,OAp100,ONp100,CNp100,CA mmovel p100,OA mmovel p100,ON mmovel p100,CN mmovel p100
0,RO,2020-03-20,1.0,1.0,0.0,0.0,,,,,,0.05626749567443627,0.0,0.0,1e-05,,,,
1,RO,2020-03-21,3.0,2.0,0.0,0.0,,,,,,0.1688024870233088,0.0,0.0,2e-05,,,,
2,RO,2020-03-22,3.0,0.0,0.0,0.0,,,,,,0.1688024870233088,0.0,0.0,0.0,,,,
3,RO,2020-03-23,3.0,0.0,0.0,0.0,,,,,,0.1688024870233088,0.0,0.0,0.0,,,,
4,RO,2020-03-24,5.0,2.0,0.0,0.0,,,,,,0.28133747837218137,0.0,0.0,2e-05,,,,
5,RO,2020-03-25,5.0,0.0,0.0,0.0,,,,,,0.28133747837218137,0.0,0.0,0.0,,,,
6,RO,2020-03-26,6.0,1.0,0.0,0.0,2020-03-26,3.7142857142857144,0.0,0.0,0.8571428571428571,0.3376049740466176,0.0,0.0,1e-05,0.20899355536219186,0.0,0.0,0.04822928200665966
7,RO,2020-03-27,6.0,0.0,0.0,0.0,2020-03-27,4.428571428571429,0.0,0.0,0.7142857142857143,0.3376049740466176,0.0,0.0,0.0,0.24918462370107494,0.0,0.0,0.04019106833888306
8,RO,2020-03-28,6.0,0.0,0.0,0.0,2020-03-28,4.857142857142857,0.0,0.0,0.42857142857142855,0.3376049740466176,0.0,0.0,0.0,0.27329926470440474,0.0,0.0,0.02411464100332983
9,RO,2020-03-29,6.0,0.0,0.0,0.0,2020-03-29,5.285714285714286,0.0,0.0,0.42857142857142855,0.3376049740466176,0.0,0.0,0.0,0.2974139057077345,0.0,0.0,0.02411464100332983
10,RO,2020-03-30,8.0,2.0,1.0,1.0,2020-03-30,6.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.45013996539549017,0.05626749567443627,0.05626749567443627,2e-05,0.3376049740466176,0.008038213667776609,0.008038213667776609,0.04019106833888306
11,RO,2020-03-31,9.0,1.0,1.0,0.0,2020-03-31,6.571428571428571,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.5064074610699264,0.05626749567443627,0.0,1e-05,0.36975782871772406,0.016076427335553218,0.008038213667776609,0.032152854671106436
12,RO,2020-04-01,9.0,0.0,1.0,0.0,2020-04-01,7.142857142857143,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.5064074610699264,0.05626749567443627,0.0,0.0,0.4019106833888305,0.02411464100332983,0.008038213667776609,0.032152854671106436
13,RO,2020-04-02,10.0,1.0,1.0,0.0,2020-04-02,7.714285714285714,0.5714285714285714,0.14285714285714285,0.5714285714285714,0.5626749567443627,0.05626749567443627,0.0,1e-05,0.43406353805993697,0.032152854671106436,0.008038213667776609,0.032152854671106436
14,RO,2020-04-03,10.0,0.0,1.0,0.0,2020-04-03,8.285714285714286,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.5626749567443627,0.05626749567443627,0.0,0.0,0.4662163927310434,0.04019106833888306,0.008038213667776609,0.032152854671106436
15,RO,2020-04-04,11.0,1.0,1.0,0.0,2020-04-04,9.0,0.8571428571428571,0.14285714285714285,0.7142857142857143,0.618942452418799,0.05626749567443627,0.0,1e-05,0.5064074610699264,0.04822928200665966,0.008038213667776609,0.04019106833888306
16,RO,2020-04-05,14.0,3.0,1.0,0.0,2020-04-05,10.142857142857142,1.0,0.14285714285714285,1.1428571428571428,0.7877449394421078,0.05626749567443627,0.0,3e-05,0.5707131704121393,0.05626749567443627,0.008038213667776609,0.06430570934221287
17,RO,2020-04-06,18.0,4.0,1.0,0.0,2020-04-06,11.571428571428571,1.0,0.0,1.4285714285714286,1.0128149221398528,0.05626749567443627,0.0,4e-05,0.6510953070899054,0.05626749567443627,0.0,0.08038213667776611
18,RO,2020-04-07,23.0,5.0,1.0,0.0,2020-04-07,13.571428571428571,1.0,0.0,2.0,1.2941524005120342,0.05626749567443627,0.0,5e-05,0.7636302984387779,0.05626749567443627,0.0,0.11253499134887254
19,RO,2020-04-08,26.0,3.0,1.0,0.0,2020-04-08,16.0,1.0,0.0,2.4285714285714284,1.462954887535343,0.05626749567443627,0.0,3e-05,0.9002799307909803,0.05626749567443627,0.0,0.13664963235220237
20,RO,2020-04-09,28.0,2.0,2.0,1.0,2020-04-09,18.571428571428573,1.1428571428571428,0.14285714285714285,2.5714285714285716,1.5754898788842155,0.11253499134887254,0.05626749567443627,2e-05,1.0449677768109593,0.06430570934221287,0.008038213667776609,0.144687846019979
21,RO,2020-04-10,32.0,4.0,2.0,0.0,2020-04-10,21.714285714285715,1.2857142857142858,0.14285714285714285,3.142857142857143,1.8005598615819607,0.11253499134887254,0.0,4e-05,1.2218084775020446,0.0723439230099895,0.008038213667776609,0.1768407006910854
